Epoch,Train_Loss,Val_Loss
1,7.834929423650106,2.892513589656099
2,2.8075461381276448,2.7179362900713655
3,2.571708178838094,2.39196906698511
4,1.8819615345001222,1.48131255520151
5,0.9953696653048197,0.933524712603143
6,0.6532379822731018,0.6709409280026213
7,0.4175899529059728,0.5204054992249671
8,0.28148041558265685,0.37201523257696884
9,0.22155002695322037,0.32908700279732966
10,0.20091013951102893,0.3746963377962721
11,0.182483390857776,0.2671807850611971
12,0.1619674281477928,0.24947345098282428
13,0.14530424016714097,0.22913530643316024
14,0.12780105098088582,0.24737097108934789
15,0.11916488128403822,0.2593548617305908
16,0.11193149987359842,0.4067085084128887
17,0.10302678599953652,0.22197375042324372
18,0.09547864659627278,0.17707968356603004
19,0.08863458074629307,0.21815503507535508
20,0.08248717455814282,0.1923598350679621
21,0.07773827419926722,0.2031493477047758
22,0.0719234484086434,0.1890832853919648
23,0.07058111451814572,0.20951003359353287
24,0.06295660190284252,0.17601171266683874
25,0.0586245821788907,0.1566696684173447
26,0.05287573902184765,0.15604031704207685
27,0.04946375890448689,0.1789196982900513
28,0.046609113516286015,0.1821992491233222
29,0.03950837261478106,0.15993674507642047
30,0.039492998832836745,0.16205027275421519
31,0.03771869479616483,0.17019373447971142
32,0.03210805488874515,0.16527866849556883
33,0.028387638944201172,0.32539408907611317
34,0.02766400713597735,0.16432770769646826
35,0.024052488134863475,0.19198963363119897
36,0.020904284904400508,0.165926803339352
37,0.019417753387552996,0.20723911731484088
38,0.018936591061453026,0.1833797239876808
39,0.016712139296500634,0.1686236229031644
40,0.018857688124058768,0.2005330523911943
41,0.014766719185591986,0.1880026947548415
42,0.014347781310013186,0.17105027549761406
43,0.012037634907678391,0.17638771582711885
44,0.012271381527495882,0.18397068236260972
45,0.011294298812164925,0.17919228753035374
46,0.008211464687638606,0.192987674094261
47,0.010230225989284615,0.1852902753001198
48,0.012666456953700011,0.19727003843860424
49,0.007316203609031314,0.19767889315064283
50,0.004939721978657568,0.19925496699486642
51,0.006333791963251618,0.20186099443743202
52,0.007838658533175476,0.19838296736967057
53,0.006363476668135263,0.21093799540416358
54,0.008517646215468024,0.1825688851878364
55,0.0032573489466449245,0.1899483592665576
56,0.005733272829519895,0.195269311441386
57,0.0034416901862908463,0.19705953390555495
58,0.005180282305848475,0.21460274293860224
59,0.0028436246837469903,0.1944455614194591
60,0.0020834845385300773,0.2007615094251455
61,0.004523277266222673,0.2037749880568144
62,0.004284490167105105,0.2026337972901603
63,0.0026208051345068574,0.19996614207295663
64,0.0019286255580712654,0.19871088172844115
65,0.0015275058168966401,0.20696995603515111
66,0.0008806649255905844,0.2091679105713488
67,0.001780339877261819,0.2054973997849416
68,0.001017673002492908,0.2073168523332223
69,0.0009105044954097442,0.20563489067903223
70,0.0013656298263934636,0.22570290284706873
71,0.0014638649231516563,0.20563144150606177
72,0.0006447960636335969,0.20910767983011108
73,0.00036914595791313334,0.2107535953673118
74,0.00012096409841736507,0.2078396736277624
75,2.7858294116109997e-05,0.2084571921781815
76,1.7765791879962004e-05,0.20900332818223916
77,1.4422220364698054e-05,0.21062433128641483
78,1.2417346852089395e-05,0.21156343516021808
79,1.0565918655932667e-05,0.21284299143193725
80,9.398674028489041e-06,0.21370232590236404
81,8.35788964407887e-06,0.2147993911206326
82,7.427487827953882e-06,0.21619789486632068
83,6.7687849771876546e-06,0.21693182030712513
84,6.0392630054290445e-06,0.2182500150817585
85,5.455066314728659e-06,0.2190669041047705
86,4.983480806004082e-06,0.21989401975309752
87,4.633707109254222e-06,0.22099587661115097
88,4.254913567516875e-06,0.22193701789179382
89,3.907971185374966e-06,0.2226162534008952
90,3.6434083475190466e-06,0.2235649653234856
91,3.431767168118919e-06,0.22420686256497147
92,3.235511874512061e-06,0.22485228130554266
93,3.0406432650427937e-06,0.2255633936035744
94,2.9220261574967785e-06,0.22621651809226642
95,2.786825633696329e-06,0.2261746375663008
96,2.7085520699377716e-06,0.22728829336491355
97,2.6445052374886775e-06,0.2273955009778605
98,2.6023188650772983e-06,0.22700920162048746
99,2.595820828143284e-06,0.22748067483622977
100,2.5737381979524796e-06,0.2272315787527948
