Epoch,Train_Loss,Val_Loss
1,3.239963385264079,2.6496956272328154
2,2.3102882804870606,1.7742269559109465
3,1.1748560813268025,0.5448234636098781
4,0.4504212838013967,0.2850321978330612
5,0.3115316996574402,0.2523704510419927
6,0.26482429647445677,0.22528839063771228
7,0.24027186451355617,0.20532835203599423
8,0.22345060630639393,0.1931467203700796
9,0.21127988369266193,0.1934520480956169
10,0.20216704236467678,0.1875653679066516
11,0.2004418332974116,0.1936036502902812
12,0.1897135366598765,0.17886428574615337
13,0.18723950390021007,0.1808231572045925
14,0.17901060157020887,0.17797580971679788
15,0.17587156452735264,0.16990375681284894
16,0.1679829840262731,0.17459813988906273
17,0.1678110005557537,0.16881756322022448
18,0.1613663788686196,0.16504790903405941
19,0.15749894246459006,0.1665544996553279
20,0.15615132198731105,0.16441512741941086
21,0.15245944572488468,0.1612994884477651
22,0.1491471447646618,0.16028054993837437
23,0.14995561335484187,0.16316643987405807
24,0.15218675883114338,0.16423477779360526
25,0.14550931338965892,0.16171270759498818
